video_id,channel_id,views,likes,comments,shares,subscribers_gained,estimated_revenue,avg_view_pct,avg_view_duration
V-Qvwd5QmqA,UC8gDq5ENmiVuJZIVsiZbQ8g,12199,10,0,3,7,16.765,0.97,80.98
V-gpfwIs1MM,UC8Fm-ogvMehvbgF0BJjKiuQ,13,0,0,0,0,0.011,0.3,12.38
V-l2HOn53Cc,UC8gDq5ENmiVuJZIVsiZbQ8g,400,1,0,0,0,0.023,40.85,21.87
V0KWdXwBFEM,UCLQ4NoTptaCDG4nUvDLtUoQ,3938,10,0,1,5,5.925,1.27,101.59
V0k3JHnfnbE,UCc-V01UlW1n8eGLpATLA5gw,236,1,0,0,1,0.333,6.6,356.74
V1FfiKqNWK4,UCZFs3JqsRIqtqYgo4HahDUQ,2250,6,0,0,1,0.111,50.07,15.75
V1kH0A6_eco,UCl_Nqhf2SGNwv4uvbvs3upg,782,4,0,4,2,0.642,3.37,216.67
V2-cNdPmgK4,UC8gDq5ENmiVuJZIVsiZbQ8g,1425,10,0,0,1,0.042,61.38,13.51
V3b934Tx95c,UC77WdDKy6cbCxZkC46eaudA,6,0,0,0,0,0.0,1.67,20.0
V4N39Mp5Q4g,UC82nFsZOjs5Tr96upPPq9Ww,3,0,0,0,0,0.002,1.51,17.33
V4l8UsG0qfM,UCTGoaBFABIBLXcqXzCM5D3A,29,1,0,0,1,0.0,1.27,65.17
V62ogU9flEQ,UCpUrAXv2lzGxM4plYB7CE-A,7554,39,1,0,3,0.564,55.72,16.53
V6eTZh5N5-w,UC77WdDKy6cbCxZkC46eaudA,9,0,0,0,0,0.001,58.0,20.11
V7KjMS0kepc,UCdtOFTQ1GVPKzvOYsi1ApIw,4,1,0,0,0,0.0,34.28,49.75
V8-z8_THjjc,UCxhHKduxLRNAOC_GUHPPf1Q,2,0,0,0,0,0.001,101.79,57.0
V8shG9rxJeU,UCkIOcyGqKTJMIIyFHJunYDA,138,1,0,0,1,0.006,38.33,12.0
V9wUBe2KCUM,UCMGKZD9ggu_Pfo4dkL47cXQ,397,9,1,1,0,0.089,44.56,33.7
VFE4VXn0d3I,UCxxl4xdZZqRSSz2VfnFBhwA,2,0,0,0,0,0.0,0.0,0.0
VFaOvYmgGtM,UCl_Nqhf2SGNwv4uvbvs3upg,1577,20,0,11,1,4.414,3.3,196.51
VHjBIMfsxGU,UCdtOFTQ1GVPKzvOYsi1ApIw,30,0,0,0,0,0.07,7.63,172.8
VIS6--8sqJk,UCOfo1ycUYYsMkBRS56TSo3Q,1791,10,0,0,0,0.0,54.28,17.46
VIZ9DHWpKSA,UCP4STX85lq_fpEtvQcq_5fw,6703,23,1,9,9,1.837,11.1,158.13
VIjsETwNuK4,UCbnCFV5_c-nGiEQN1anEO5A,190,0,0,0,0,0.054,1.4,24.6
VJC0jLfjz9E,UCxfDVRNK6SoN59v_t3ZJ33A,1,0,0,0,0,0.0,0.8,12.0
VJIlsFPOezc,UCMGKZD9ggu_Pfo4dkL47cXQ,15647,65,2,15,39,14.81,21.31,222.69
VJKm9DpSFxY,UC82nFsZOjs5Tr96upPPq9Ww,381,6,0,0,4,0.23,8.65,199.41
VJiWopXenn4,UC77WdDKy6cbCxZkC46eaudA,1,0,0,0,0,0.0,0.03,0.0
VKSx2swFi8Q,UCAkSxwl8Lbk2hBXAAfsEFTA,3,0,0,0,0,0.001,103.6,51.0
VKotHRtlYUI,UCnwjt6PgkKuZC4S1A0yTOFQ,23,0,0,0,0,0.0,93.44,19.0
VLCSpTYiquY,UCdtOFTQ1GVPKzvOYsi1ApIw,0,0,0,0,0,0.0,0.0,0.0
VLFGCnfsV0E,UCk2O5vfW3c_W5YWQ_BoD1Ug,7,0,0,0,0,0.003,5.85,75.57
VLTj5lnEI1U,UCxxl4xdZZqRSSz2VfnFBhwA,10,0,0,0,0,0.001,63.29,20.4
VMZtV8xqv4Y,UCZFs3JqsRIqtqYgo4HahDUQ,79,1,0,0,0,0.005,53.32,23.51
VMgxmtyXLnQ,UCMGKZD9ggu_Pfo4dkL47cXQ,261,2,0,1,0,0.544,12.64,228.0
VPIcdtLYZMc,UCMGKZD9ggu_Pfo4dkL47cXQ,345,1,0,0,0,0.012,50.4,6.41
VQ2cuxpSR6M,UCIg97fCjw1HnS8vPqwiHLGA,128,1,0,0,0,0.128,36.54,128.26
VRKnOwfjiBc,UCf3lAEw_WPtcgHMUVAunzSw,376,0,0,0,0,0.074,81.69,23.08
VS79t3Sx2cc,UC2IjY1Gm6b7pYp-vMJ2R9ig,14,0,0,0,0,0.017,7.14,109.5
VSCNiZ1IC1A,UC2IjY1Gm6b7pYp-vMJ2R9ig,7,0,0,0,0,0.001,86.66,29.0
VSvHkVaa12Q,UC2jHP3YhgMucr6UlgFzRhbA,1103,1,0,0,0,0.007,32.43,9.41
VTEC5XigV6M,UCxxl4xdZZqRSSz2VfnFBhwA,69,0,0,0,0,0.031,8.87,199.7
VTO4TmTbw7I,UCvfQU0Npb-ve-LxUlaAN1GA,1,0,0,0,0,0.0,2.35,25.0
VUnJk7HS-8c,UC0GVHmLgrxE2SS8F0C19JVg,4,0,0,0,0,0.001,59.58,33.0
VV9bFUBKXt0,UC82nFsZOjs5Tr96upPPq9Ww,18,0,0,0,0,0.022,4.33,261.5
